,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
837,782714427706261888,163.90719656079128,44.77838132963014,-6.004887320258291,-11.50195467132026,1,0,21.8143005371094,19.9955997467041,-25.985867387751114,-2.357708116750707,-6.441879567382986,-1.521108792007632
838,782971301110471168,164.39963240258191,45.722890735586525,-5.731259137068871,-11.93902111256218,1,0,21.4981002807617,19.621000289917,-25.095096502864237,-1.8887803684436753,-6.512797499542824,-2.1131585797369365
839,782977799409437312,164.27262171114498,45.73874954412471,-5.29604218541364,-13.5234484508557,1,0,21.9363994598389,19.6692008972168,-25.150498408417945,-1.817748995018492,-7.256019418756098,-3.563611723540845
840,782955809176891136,163.92976094054043,45.64347081403119,-6.120936065222253,-12.10481588844561,1,0,18.281099319458,17.9477996826172,-25.392203756472952,-1.7279086440650282,-6.938593781572712,-1.9033233795978954
841,782658661851363712,164.31179773112527,44.775260658358334,-4.012535931752087,-12.338644323755151,1,0,18.4673004150391,18.0363006591797,-25.774695848974318,-2.5526099510323266,-5.499695077916898,-3.534639972622977
842,782594821457609984,162.39252832406828,44.26627744435921,-4.387813397101878,-12.320631607813645,1,0,19.6042995452881,19.0428009033203,-27.126916918038887,-1.9994982586293386,-5.897643065913314,-2.999078277709742
843,782976081422558464,164.14538830516722,45.661409728514236,-3.677369370904947,-13.370486579675266,1,0,17.9242000579834,17.5575008392334,-25.268344636281427,-1.8157354758787656,-5.960752621464372,-4.513348510204291
844,782913477965588864,162.91856885856356,45.54464372078463,-3.0145693380359067,-12.511119239900404,1,0,20.732400894165,19.7490005493164,-25.980222403732,-1.3218373978763387,-4.994980609924584,-4.160830014210667
845,782662819379201664,163.95218497308653,44.642809604691244,-4.386335693122475,-11.774659812802433,1,0,19.153600692749,18.5937004089355,-26.05339803216509,-2.4795671649922872,-5.42346207625246,-2.8158128536575724
846,782987656345794688,164.5639963221916,45.9693061847037,-3.4733039794454905,-12.082680101772045,1,0,19.6179008483887,19.2602005004883,-24.845352317180186,-1.7814436543261243,-4.916586375739768,-3.751392992731493
847,782916566047513600,163.19795392585584,45.5788027782912,-5.105707887384225,-13.963874452523866,1,0,21.7598991394043,20.2458992004395,-25.813545808918377,-1.429839883615782,-7.493715313026816,-3.844273427720353
848,782646601583231872,163.83696195578221,44.416822135531184,-6.660404040771146,-13.971863361236604,1,0,21.5694999694824,19.5941009521484,-26.266399297216424,-2.591534508688025,-8.590381393384238,-2.8915686502821005
849,782922407203053568,163.16889796233303,45.73079004015053,-5.382946130572639,-13.563511554744498,1,0,21.8591995239258,19.7644996643066,-25.725236884656397,-1.3044661221875538,-7.428817073476833,-3.3592327670846482
850,782922510282269952,163.20460282271523,45.74947810700039,-5.266524563671154,-11.906510875156286,1,0,21.0116996765137,20.0044002532959,-25.694245353966323,-1.30766301565685,-6.216186011074831,-2.2273269509400166
851,782696354484367232,164.5029039349778,44.939313474963676,-3.0144526527995765,-14.303337600526756,1,0,18.4099006652832,17.246000289917,-25.564104301141413,-2.520938079333837,-6.052538391848162,-5.6920371796529885
852,647481025840274816,144.34790544692422,26.506557284583263,-5.915767476500315,-12.170464201720105,1,0,19.6242008209229,18.9013004302979,-50.09392017202805,-2.3627876055066817,-7.795644430486163,0.6922197401070505
853,647766589625643904,143.51470575676748,27.247003502278467,-3.7363131292049507,-11.72980318248938,1,0,17.8428001403809,17.3922996520996,-49.912376424233685,-1.3295086327640073,-6.199986100532321,-0.7296930154996597
854,647642585330279296,145.6341043237802,27.462521328740532,-6.697964756714149,-11.243614231980992,1,0,21.173999786377,20.0102996826172,-48.649052199076834,-2.7422746257065747,-7.436504298785377,1.7128757260640664
855,647760580966661376,143.96800288898692,27.361125553267303,-5.108980292956476,-11.89244850970636,1,0,19.6543998718262,18.6949996948242,-49.58842337570985,-1.5948171777849174,-7.097224423042836,0.25078091067284763
856,647761646118550528,143.95131466376523,27.410462274135284,-4.542219314788781,-13.29191155068827,1,0,19.1970996856689,17.6154003143311,-49.556468303300676,-1.5544027179889148,-7.9189073599841455,-1.0128152285814287
857,647707250357713920,144.10783069631768,27.161293850439435,-5.751822433371733,-13.311169143078605,1,0,21.0547008514404,19.9466991424561,-49.6808839951002,-1.8112449168246354,-8.627681010605357,-0.057131378980272526
